Product_Family,Blueprint_ID,Blueprint_Title,Provider_ID,Provider_Title,Variant_Count_Probed,Sample_Variants,Sample_Print_Areas,Min_US_Shipping_First_Cents,Max_US_Shipping_First_Cents,Production_Cost_Source,Recommended_Next_Test,Risk_Note
Mug,479,"Black Mug (11oz, 15oz)",94,Harrier,2,11oz | 15oz,front:2327x1086 | front:2448x1266,3999,3999,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Only after wrap-around design QA; do not reuse vertical art directly,Requires wrap-around design and mug mockup QA; higher expectation risk than rectangular art.
Mug,618,Ceramic Mugs (11oz\15oz\20oz),41,Duplium,3,11oz / White | 15oz / White | 20oz / White,front:2550x1098 | front:2775x1200 | front:3000x1275,2230,2299,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Only after wrap-around design QA; do not reuse vertical art directly,Requires wrap-around design and mug mockup QA; higher expectation risk than rectangular art.
Notebook/Journal,74,Spiral Notebook - Ruled Line,1,SPOKE Custom Products,1,One Size,front:1810x2534,529,529,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,"Strong practical-product test; design cover only, no inside-page complexity",Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,75,Journal - Ruled Line,1,SPOKE Custom Products,1,Journal,front:3742x2625,529,529,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,76,Journal - Blank,1,SPOKE Custom Products,1,Journal,front:3742x2625,529,529,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,485,Hardcover Journal Matte,28,District Photo,1,Journal,front:4065x2850,529,529,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,"Strong practical-product test; design cover only, no inside-page complexity",Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,486,Spiral Bound Journal,28,District Photo,1,One Size,front:3113x2138 | inside:3113x2138,529,529,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,514,Hardcover Journal (A5),55,Drukātava,2,A5 / Blank | A5 / Ruled line,front_cover:8268x5906 | front_cover:8268x5906,3399,3399,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,"Strong practical-product test; design cover only, no inside-page complexity",Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,515,Spiral Notebook,55,Drukātava,1,One Size,front_cover:2150x2882 | back_cover:2150x2882,3399,3399,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,"Strong practical-product test; design cover only, no inside-page complexity",Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,1041,Hardcover Notebook with Puffy Covers,55,Drukātava,8,A4 / Blank / Glossy | A4 / Dotgrid / Glossy | A4 / Ruled line / Glossy | B5 / Blank / Glossy,front_cover:5669x4028 | front_cover:5669x4028 | front_cover:5669x4028,3399,3399,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,1193,"Wirobound Softcover Notebook, A5",94,Harrier,1,A5 / Lined,front_cover:1819x2551,2719,2719,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,1194,"Softcover Notebook, A5",94,Harrier,1,A5 / Lined,front:3652x2551,2719,2719,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,1404,Softcover Journal (with Inside Prints),28,District Photo,2,"100 pages (50 sheets) / Ruled line / 5.75"" x 8"" | 200 pages (100 sheets) / Ruled line / 5.75"" x 8""",outside_cover:3714x2475 | inside_cover:3714x2475 | page1_front:1800x2475 | page1_back:1800x2475 | page2_front:1800x2475 | page2_back:1800x2475 | page3_front:1800x2475 | page3_back:1800x2475 | outside_cover:3714x2475 | inside_cover:3714x2475 | page1_front:1800x2475 | page1_back:1800x2475 | page2_front:1800x2475 | page2_back:1800x2475 | page3_front:1800x2475 | page3_back:1800x2475,529,529,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,1481,Hard Backed Journal,69,Prodigi,3,"Blank / 5.2"" x 7.4"" | Graph / 5.2"" x 7.4"" | Ruled line / 5.2"" x 7.4""",front:3735x2622 | front:3735x2622 | front:3735x2622,3299,3299,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,Verify cost/provider first,Cover placement and back/inside placeholders may require product-specific templates.
Notebook/Journal,5634,Spiral Notebook - Dotted,99,Printify Choice,1,5.5″ x 8.5″ / Dotgrid,front:1725x2625 | back:1725x2625,1209,1209,Not exposed by queried Printify catalog variant endpoint; verify via UI/create-product readback before pricing.,"Strong practical-product test; design cover only, no inside-page complexity",Cover placement and back/inside placeholders may require product-specific templates.
