Priority,ID,Product_Type,eBay_Item_ID,Printify_Product_ID,Gallery_Issue,Replacement_SKU,Replacement_Status,Recommended_Action,Notes
96,Poster-Academia-0002,Poster,406902600741,69f2906f7f1017d51b0d5f76,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Academia-0002-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Academia-0006,Poster,406903042690,69f84864feed9979d10cd5ba,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Academia-0006-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Academia-0081,Poster,406902627420,69f29fe09577aaffd5068e03,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Academia-0081-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Academia-0082,Poster,406902648209,69f2a0cacaeb1241880b9e8d,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Academia-0082-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Academia-0083,Poster,406902669660,69f2a1b8a7777da197101a96,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Academia-0083-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Academia-0084,Poster,406902691983,69f2a2aacaeb1241880b9f6b,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Academia-0084-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Academia-0085,Poster,406902882943,69f2b132cd8d04605103fdaa,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Academia-0085-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Academia-0091,Poster,406902887127,69f2b7ada7777da1971028d7,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Academia-0091-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Zen-0001,Poster,406902890971,69f2dc76cd8d046051041f06,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Zen-0001-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Zen-0002,Poster,406902897663,69f2cf675f78c14a7b0a894c,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Zen-0002-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Zen-0004,Poster,406903026999,69f2dddb9577aaffd506bc32,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Zen-0004-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
96,Poster-Zen-0005,Poster,406903033377,69f2db1a3c6616b960034a37,CHECK_CUSTOM_GALLERY_REPEATS_RISK,Poster-Zen-0005-GALLERYFIX1,READY_FOR_LOCAL_DRAFT_WHEN_APPROVED,"Create replacement product with clean official mockups, verify live gallery, then retire old listing.",Do not bulk-publish until one GalleryFix sample passes Printify source audit and eBay live-gallery audit.
