ID,eBay_Item_ID,Printify_Product_ID,Result,Best_U_Label,Distance_To_Cover,Best_U_Distance,Recommended_Action,Status
Sticker-Academia-0005,406892409123,69f198efea1f992ded0e90e7,LIKELY_SINGLE_U_MISMATCH,U4,194,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0004,406892412789,69f1ac9740c796ee97057c83,LIKELY_SINGLE_U_MISMATCH,U2,195,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0005,406892413076,69f1ad18c59fe705400bacbf,LIKELY_SINGLE_U_MISMATCH,U1,334,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0007,406892413333,69f1ad9bbb6f6dd6270dc5df,LIKELY_SINGLE_U_MISMATCH,U1,212,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0008,406892413714,69f1aef4bb6f6dd6270dc7d5,LIKELY_SINGLE_U_MISMATCH,U2,193,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0009,406892413966,69f1af85bb6f6dd6270dc848,LIKELY_SINGLE_U_MISMATCH,U4,231,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0022,406892414235,69f1b1ab63935da7e8064bab,LIKELY_SINGLE_U_MISMATCH,U4,213,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0024,406892414471,69f1b2c4d3e196c79b0fdaec,LIKELY_SINGLE_U_MISMATCH,U2,239,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0025,406892327989,69f1cb4ef6b83091a50959f5,LIKELY_SINGLE_U_MISMATCH,U4,331,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0027,406892414741,69f1ce0f11e0745fcb0da03a,LIKELY_SINGLE_U_MISMATCH,U2,254,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0041,406902593931,69f1db9382fcf925cf08206d,LIKELY_SINGLE_U_MISMATCH,U2,336,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0042,406902614234,69f2192ae64c9f31b70f2dbd,LIKELY_SINGLE_U_MISMATCH,U1,333,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0044,406902622710,69f2396ccaeb1241880b692d,LIKELY_SINGLE_U_MISMATCH,U3,296,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0045,406902640998,69f21a5da7777da1970fd378,LIKELY_SINGLE_U_MISMATCH,U4,290,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0046,406902663232,69f21b07b0d6b88b2805ebe3,LIKELY_SINGLE_U_MISMATCH,U4,274,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0049,406902713267,69f23a2fa7777da1970fe60d,LIKELY_SINGLE_U_MISMATCH,U4,321,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0050,406902886081,69f23a99c326d7da170bfe8d,LIKELY_SINGLE_U_MISMATCH,U2,277,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0051,406902889638,69f23b5ce64c9f31b70f415b,LIKELY_SINGLE_U_MISMATCH,U3,306,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0052,406902896387,69f23c10caeb1241880b6afe,LIKELY_SINGLE_U_MISMATCH,U3,259,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0053,406902900109,69f252f4357398ded80f61c9,LIKELY_SINGLE_U_MISMATCH,U2,232,2,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0054,406903032635,69f253bc357398ded80f6242,LIKELY_SINGLE_U_MISMATCH,U2,331,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0055,406903037933,69f2547229c1d0349a00e796,LIKELY_SINGLE_U_MISMATCH,U1,291,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0056,406903041315,69f25526ad218fe47f0cc0d3,LIKELY_SINGLE_U_MISMATCH,U1,260,2,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0057,406903044643,69f255dae64c9f31b70f4ea6,LIKELY_SINGLE_U_MISMATCH,U2,288,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0058,406903049411,69f259bc5f78c14a7b0a4760,LIKELY_SINGLE_U_MISMATCH,U1,250,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0060,406903249053,69f25a86a7777da1970ff5f3,LIKELY_SINGLE_U_MISMATCH,U1,262,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0061,406903249987,69f25b3ce64c9f31b70f50ed,LIKELY_SINGLE_U_MISMATCH,U2,288,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0062,406903250891,69f25bee9b469f716d0e7056,LIKELY_SINGLE_U_MISMATCH,U2,255,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0063,406903252007,69f25ca39577aaffd5066a80,LIKELY_SINGLE_U_MISMATCH,U2,295,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0066,406903252739,69f25d56c326d7da170c0f79,LIKELY_SINGLE_U_MISMATCH,U1,309,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0069,406903753067,69f26062cd8d04605103d10b,LIKELY_SINGLE_U_MISMATCH,U4,301,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0070,406903757240,69f261185f78c14a7b0a4b29,LIKELY_SINGLE_U_MISMATCH,U2,207,0,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Sticker-Zen-0071,406903762328,69f261cd5269e3325904b816,LIKELY_SINGLE_U_MISMATCH,U1,215,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Poster-Academia-0001,406902584620,69f28800cd8d04605103e53a,LIKELY_SINGLE_U_MISMATCH,U1,134,1,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Poster-Academia-0003,406902616799,69f29152357398ded80f8178,LIKELY_SINGLE_U_MISMATCH,U1,268,239,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Acrylic-Grimdark-0081,406902606976,69f299c1a3119247600cbe18,LIKELY_SINGLE_U_MISMATCH,U1,274,224,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
Acrylic-Zen-0001,406902620519,69f29a72c411a56f6902930d,LIKELY_SINGLE_U_MISMATCH,U1,237,7,Fix live eBay image order: make local Cover_Mockup photo 1; then re-audit online listing.,PENDING_FIX
